id,speed,turn,slope,slip,surface,grounded,air,impact,traversal
C000,0.00,0,0,0.00,1.00,1,0.00,0.0,0.00
C001,0.24,32,-4,0.04,0.96,1,0.00,0.0,0.12
C002,0.48,64,-8,0.08,0.92,1,0.00,0.0,0.24
C003,0.72,96,-12,0.12,0.88,1,0.00,0.0,0.36
C004,0.96,128,-16,0.16,0.84,1,0.00,0.0,0.48
C005,1.20,160,-20,0.20,0.80,1,0.00,0.0,0.60
C006,1.44,192,-24,0.24,0.76,1,0.00,0.0,0.72
C007,1.68,224,-28,0.28,0.72,1,0.00,0.0,0.84
C008,1.92,256,-32,0.32,0.68,1,0.00,0.0,0.96
C009,2.16,288,-36,0.36,0.64,1,0.00,0.0,0.08
C010,2.40,320,-40,0.40,0.60,1,0.00,0.0,0.20
C011,2.64,352,-44,0.44,0.56,1,0.00,0.0,0.32
C012,2.88,384,-48,0.48,0.52,1,0.00,0.0,0.44
C013,3.12,416,-52,0.52,0.48,1,0.00,0.0,0.56
C014,3.36,448,-55,0.56,0.44,1,0.00,0.0,0.68
C015,3.60,480,55,0.60,0.40,1,0.00,0.0,0.80
C016,3.84,512,51,0.64,0.36,1,0.00,0.0,0.92
C017,4.08,544,47,0.68,0.32,1,0.00,0.0,0.04
C018,4.32,16,43,0.72,0.28,1,0.00,0.0,0.16
C019,4.56,48,39,0.76,0.24,1,0.00,0.0,0.28
C020,4.80,80,35,0.80,0.20,1,0.00,0.0,0.40
C021,5.04,112,31,0.84,0.16,1,0.00,0.0,0.52
C022,5.28,144,27,0.88,0.12,1,0.00,0.0,0.64
C023,5.52,176,23,0.92,0.08,1,0.00,0.0,0.76
C024,5.76,208,19,0.96,0.04,1,0.00,0.0,0.88
C025,6.00,240,15,1.00,0.00,1,0.00,0.0,0.00
C026,6.24,272,11,0.96,0.04,1,0.00,0.0,0.12
C027,6.48,304,7,0.92,0.08,1,0.00,0.0,0.24
C028,6.72,336,3,0.88,0.12,1,0.00,0.0,0.36
C029,6.96,368,-1,0.84,0.16,1,0.00,0.0,0.48
C030,7.20,400,-5,0.80,0.20,1,0.00,0.0,0.60
C031,7.44,432,-9,0.76,0.24,1,0.00,0.0,0.72
