id,speed,turn,slope,slip,surface,grounded,air,impact,traversal
D000,0.00,0,0,0.00,1.00,1,0,0,0.00
D001,0.17,17,-3,0.03,0.97,1,0,0,0.07
D002,0.34,34,-6,0.06,0.94,1,0,0,0.14
D003,0.51,51,-9,0.09,0.91,1,0,0,0.21
D004,0.68,68,-12,0.12,0.88,1,0,0,0.28
D005,0.85,85,-15,0.15,0.85,1,0,0,0.35
D006,1.02,102,-18,0.18,0.82,1,0,0,0.42
D007,1.19,119,-21,0.21,0.79,1,0,0,0.49
D008,1.36,136,-24,0.24,0.76,1,0,0,0.56
D009,1.53,153,-27,0.27,0.73,1,0,0,0.63
D010,1.70,170,-30,0.30,0.70,1,0,0,0.70
D011,1.87,187,-33,0.33,0.67,1,0,0,0.77
D012,2.04,204,-36,0.36,0.64,1,0,0,0.84
D013,2.21,221,-39,0.39,0.61,1,0,0,0.91
D014,2.38,238,-42,0.42,0.58,1,0,0,0.98
D015,2.55,255,-45,0.45,0.55,1,0,0,0.05
D016,2.72,272,-48,0.48,0.52,1,0,0,0.12
D017,2.89,289,-51,0.51,0.49,1,0,0,0.19
D018,3.06,306,-54,0.54,0.46,1,0,0,0.26
D019,3.23,323,54,0.57,0.43,1,0,0,0.33
D020,3.40,340,51,0.60,0.40,1,0,0,0.40
D021,3.57,357,48,0.63,0.37,1,0,0,0.47
D022,3.74,374,45,0.66,0.34,1,0,0,0.54
D023,3.91,391,42,0.69,0.31,1,0,0,0.61
D024,4.08,408,39,0.72,0.28,1,0,0,0.68
D025,4.25,425,36,0.75,0.25,1,0,0,0.75
D026,4.42,442,33,0.78,0.22,1,0,0,0.82
D027,4.59,459,30,0.81,0.19,1,0,0,0.89
D028,4.76,476,27,0.84,0.16,1,0,0,0.96
D029,4.93,493,24,0.87,0.13,1,0,0,0.03
D030,5.10,510,21,0.90,0.10,1,0,0,0.10
D031,5.27,527,18,0.93,0.07,1,0,0,0.17
D032,5.44,544,15,0.96,0.04,1,0,0,0.24
D033,5.61,16,12,0.99,0.01,1,0,0,0.31
D034,5.78,33,9,0.02,0.98,1,0,0,0.38
D035,5.95,50,6,0.05,0.95,1,0,0,0.45
D036,6.12,67,3,0.08,0.92,1,0,0,0.52
