id,speed,turn,slope,slip,surface,grounded,air,impact,traversal
E000,0.00,0,0,0.00,1.00,1,0,0,0.00
E001,0.08,18,-2,0.01,0.99,1,0,0,0.05
E002,0.16,36,-4,0.02,0.98,1,0,0,0.10
E003,0.24,54,-6,0.03,0.97,1,0,0,0.15
E004,0.32,72,-8,0.04,0.96,1,0,0,0.20
E005,0.40,90,-10,0.05,0.95,1,0,0,0.25
E006,0.48,108,-12,0.06,0.94,1,0,0,0.30
E007,0.56,126,-14,0.07,0.93,1,0,0,0.35
E008,0.64,144,-16,0.08,0.92,1,0,0,0.40
E009,0.72,162,-18,0.09,0.91,1,0,0,0.45
E010,0.80,180,-20,0.10,0.90,1,0,0,0.50
E011,0.88,198,-22,0.11,0.89,1,0,0,0.55
E012,0.96,216,-24,0.12,0.88,1,0,0,0.60
E013,1.04,234,-26,0.13,0.87,1,0,0,0.65
E014,1.12,252,-28,0.14,0.86,1,0,0,0.70
E015,1.20,270,-30,0.15,0.85,1,0,0,0.75
E016,1.28,288,-32,0.16,0.84,1,0,0,0.80
E017,1.36,306,-34,0.17,0.83,1,0,0,0.85
E018,1.44,324,-36,0.18,0.82,1,0,0,0.90
E019,1.52,342,-38,0.19,0.81,1,0,0,0.95
E020,1.60,360,-40,0.20,0.80,1,0,0,1.00
E021,1.68,378,-42,0.21,0.79,1,0,1.0,0.05
E022,1.76,396,-44,0.22,0.78,1,0,1.0,0.10
E023,1.84,414,-46,0.23,0.77,1,0,1.0,0.15
E024,1.92,432,-48,0.24,0.76,1,0,1.0,0.20
E025,2.00,450,-50,0.25,0.75,1,0,1.0,0.25
E026,2.08,468,-52,0.26,0.74,1,0,1.0,0.30
E027,2.16,486,-54,0.27,0.73,1,0,1.0,0.35
E028,2.24,504,54,0.28,0.72,1,0,1.0,0.40
E029,2.32,522,52,0.29,0.71,1,0,1.0,0.45
E030,2.40,540,50,0.30,0.70,1,0,1.0,0.50
E031,2.48,6,48,0.31,0.69,1,0,1.0,0.55
E032,2.56,24,46,0.32,0.68,1,0,1.0,0.60
E033,2.64,42,44,0.33,0.67,1,0,1.0,0.65
E034,2.72,60,42,0.34,0.66,1,0,1.0,0.70
E035,2.80,78,40,0.35,0.65,1,0,1.0,0.75
E036,2.88,96,38,0.36,0.64,1,0,1.0,0.80
E037,2.96,114,36,0.37,0.63,1,0,1.0,0.85
E038,3.04,132,34,0.38,0.62,1,0,1.0,0.90
E039,3.12,150,32,0.39,0.61,1,0,1.0,0.95
E040,3.20,168,30,0.40,0.60,1,0,1.0,1.00
E041,3.28,186,28,0.41,0.59,1,0.1,1.1,0.05
E042,3.36,204,26,0.42,0.58,1,0.2,1.2,0.10
E043,3.44,222,24,0.43,0.57,1,0.3,1.3,0.15
E044,3.52,240,22,0.44,0.56,1,0.4,1.4,0.20
E045,3.60,258,20,0.45,0.55,1,0.5,1.5,0.25
E046,3.68,276,18,0.46,0.54,1,0.6,1.6,0.30
E047,3.76,294,16,0.47,0.53,1,0.7,1.7,0.35
E048,3.84,312,14,0.48,0.52,1,0.8,1.8,0.40
E049,3.92,330,12,0.49,0.51,1,0.9,1.9,0.45
E050,4.00,348,10,0.50,0.50,1,1.0,2.0,0.50
E051,4.08,366,8,0.51,0.49,1,1.1,2.1,0.55
E052,4.16,384,6,0.52,0.48,1,1.2,2.2,0.60
E053,4.24,402,4,0.53,0.47,1,1.3,2.3,0.65
E054,4.32,420,2,0.54,0.46,1,1.4,2.4,0.70
E055,4.40,438,0,0.55,0.45,1,1.5,2.5,0.75
E056,4.48,456,-2,0.56,0.44,1,1.6,2.6,0.80
E057,4.56,474,-4,0.57,0.43,1,1.7,2.7,0.85
E058,4.64,492,-6,0.58,0.42,1,1.8,2.8,0.90
E059,4.72,510,-8,0.59,0.41,1,1.9,2.9,0.95
E060,4.80,528,-10,0.60,0.40,1,2.0,3.0,1.00
E061,4.88,4,-12,0.61,0.39,1,0,3.1,0.05
E062,4.96,22,-14,0.62,0.38,1,0,3.2,0.10
E063,5.04,40,-16,0.63,0.37,1,0,3.3,0.15
E064,5.12,58,-18,0.64,0.36,1,0,3.4,0.20
E065,5.20,76,-20,0.65,0.35,1,0,3.5,0.25
E066,5.28,94,-22,0.66,0.34,1,0,3.6,0.30
